Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,66500
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,Male,Number,38335
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,Female,Number,28165
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,24301
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,Male,Number,11300
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,Female,Number,13001
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,262499
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,Male,Number,150780
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,Female,Number,111719
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,649493
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,Male,Number,391373
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,Female,Number,258120
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,767771
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,Male,Number,714356
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,Female,Number,53415
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,7
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,5
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,10
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,64
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,27
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,26
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,2
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,16
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,26
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,7
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,92
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,56
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,,Number,3717
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,Male,Number,1915
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,Female,Number,1802
