Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2017,Normal value,Units,Not Available,"Ministry of Education and Sports, http://www.moes.edu.la/",Annual,National,Participation rate in technical-vocational education programmes (15-24 years-old),Lao People's Democratic Republic,,Percent,84450
2017,Normal value,Units,Not Available,"Ministry of Education and Sports, http://www.moes.edu.la/",Annual,National,Participation rate in technical-vocational education programmes (15-24 years-old),Lao People's Democratic Republic,Male,Percent,49682
2017,Normal value,Units,Not Available,"Ministry of Education and Sports, http://www.moes.edu.la/",Annual,National,Participation rate in technical-vocational education programmes (15-24 years-old),Lao People's Democratic Republic,Female,Percent,34768
