Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Age-standardized prevalence of current tobacco use among persons aged 15 years and older [3.a.1],Lao People's Democratic Republic,Female,Percent,12.5
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Age-standardized prevalence of current tobacco use among persons aged 15 years and older [3.a.1],Lao People's Democratic Republic,Male,Percent,65.7
