Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2016,Normal value,Units,Not Available,"National Assembly of Lao PDR, http://www.na.gov.la/index.php?lang=en",Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Lao People's Democratic Republic,Percent,27.5
2016,Normal value,Units,Not Available,"National Assembly of Lao PDR, http://www.na.gov.la/index.php?lang=en",Annual,National,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],Lao People's Democratic Republic,Percent,31.38
