Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,Admin - WHO,Annual,National,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],Lao People's Democratic Republic,Litres pure alcohol,10.1
2018,Normal value,Units,Not Available,Admin - WHO,Annual,National,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],Lao People's Democratic Republic,Litres pure alcohol,10.7
