Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,A,Annual,National,"Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation (Increase number of agreements with other counties and international organisations to 100 agreements and implementing 80% in 2020)",Lao People's Democratic Republic,Number,36
2016,Normal value,Units,Not Available,A,Annual,National,"Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation (Increase number of agreements with other counties and international organisations to 100 agreements and implementing 80% in 2020)",Lao People's Democratic Republic,Number,15
2017,Normal value,Units,Not Available,A,Annual,National,"Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation (Increase number of agreements with other counties and international organisations to 100 agreements and implementing 80% in 2020)",Lao People's Democratic Republic,Number,32
2018,Normal value,Units,Not Available,A,Annual,National,"Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation (Increase number of agreements with other counties and international organisations to 100 agreements and implementing 80% in 2020)",Lao People's Democratic Republic,Number,48
2019,Normal value,Units,Not Available,A,Annual,National,"Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation (Increase number of agreements with other counties and international organisations to 100 agreements and implementing 80% in 2020)",Lao People's Democratic Republic,Number,18
2015,Normal value,Units,Not Available,A,Annual,National,Number of research projects/papers (increase number of research projects in national and ministerial levels to 250 projects in 2025),Lao People's Democratic Republic,Number,63
2016,Normal value,Units,Not Available,A,Annual,National,Number of research projects/papers (increase number of research projects in national and ministerial levels to 250 projects in 2025),Lao People's Democratic Republic,Number,46
2017,Normal value,Units,Not Available,A,Annual,National,Number of research projects/papers (increase number of research projects in national and ministerial levels to 250 projects in 2025),Lao People's Democratic Republic,Number,16
2018,Normal value,Units,Not Available,A,Annual,National,Number of research projects/papers (increase number of research projects in national and ministerial levels to 250 projects in 2025),Lao People's Democratic Republic,Number,18
2019,Normal value,Units,Not Available,A,Annual,National,Number of research projects/papers (increase number of research projects in national and ministerial levels to 250 projects in 2025),Lao People's Democratic Republic,Number,18
2015,Normal value,Units,Not Available,A,Annual,National,Number of research papers published in regional and international journals (increase number of research publications to 250 copies in national and regional levels in 2025),Lao People's Democratic Republic,Number,28
2016,Normal value,Units,Not Available,A,Annual,National,Number of research papers published in regional and international journals (increase number of research publications to 250 copies in national and regional levels in 2025),Lao People's Democratic Republic,Number,22
2017,Normal value,Units,Not Available,A,Annual,National,Number of research papers published in regional and international journals (increase number of research publications to 250 copies in national and regional levels in 2025),Lao People's Democratic Republic,Number,23
2018,Normal value,Units,Not Available,A,Annual,National,Number of research papers published in regional and international journals (increase number of research publications to 250 copies in national and regional levels in 2025),Lao People's Democratic Republic,Number,18
2019,Normal value,Units,Not Available,A,Annual,National,Number of research papers published in regional and international journals (increase number of research publications to 250 copies in national and regional levels in 2025),Lao People's Democratic Republic,Number,24
