Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,"Ministry of Publice and Security, http://laosecurity.gov.la",Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Lao People's Democratic Republic,"Per 100,000 population",14.2
2016,Normal value,Units,Not Available,"Ministry of Publice and Security, http://laosecurity.gov.la",Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Lao People's Democratic Republic,"Per 100,000 population",15.5
2017,Normal value,Units,Not Available,"Ministry of Publice and Security, http://laosecurity.gov.la",Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Lao People's Democratic Republic,"Per 100,000 population",15.0
2018,Normal value,Units,Not Available,"Ministry of Publice and Security, http://laosecurity.gov.la",Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Lao People's Democratic Republic,"Per 100,000 population",14.1
