Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",Annual,National,"Number of children aged 5-17 engaged in prohibited hazardous occupations and tasks, by sex and age",Lao People's Democratic Republic,Number,130137
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,"Number of children aged 5-17 engaged in prohibited hazardous occupations and tasks, by sex and age",Lao People's Democratic Republic,Number,3671
