Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,A,Annual,National,Percentage of population registered as internet users through landline and wireless,Lao People's Democratic Republic,Percent,30
2016,Normal value,Units,Not Available,A,Annual,National,Percentage of population registered as internet users through landline and wireless,Lao People's Democratic Republic,Percent,39
2017,Normal value,Units,Not Available,A,Annual,National,Percentage of population registered as internet users through landline and wireless,Lao People's Democratic Republic,Percent,42
2018,Normal value,Units,Not Available,A,Annual,National,Percentage of population registered as internet users through landline and wireless,Lao People's Democratic Republic,Percent,45
2019,Normal value,Units,Not Available,A,Annual,National,Percentage of population registered as internet users through landline and wireless,Lao People's Democratic Republic,Percent,50
