Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2016,Normal value,Units,Not Available,A,Annual,National,Proportion of domestic budget funded by domestic taxes [17.1.2],Lao People's Democratic Republic,Percent,160.6
2017,Normal value,Units,Not Available,A,Annual,National,Proportion of domestic budget funded by domestic taxes [17.1.2],Lao People's Democratic Republic,Percent,143.3
2018,Normal value,Units,Not Available,A,Annual,National,Proportion of domestic budget funded by domestic taxes [17.1.2],Lao People's Democratic Republic,Percent,149.4
2019,Normal value,Units,Not Available,A,Annual,National,Proportion of domestic budget funded by domestic taxes [17.1.2],Lao People's Democratic Republic,Percent,146.0
