Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Economic activity,UNIT_MEASURE,Value
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,,"Agriculture, forestry and fishing",Local currency,14579
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Male,"Agriculture, forestry and fishing",Local currency,8966
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Female,"Agriculture, forestry and fishing",Local currency,5613
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,,Industries,Local currency,14271
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Male,Industries,Local currency,5523
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Female,Industries,Local currency,8748
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,,Services,Local currency,15616
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Male,Services,Local currency,10493
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Female,Services,Local currency,5123
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,,"Agriculture, forestry and fishing",Local currency,15813
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Male,"Agriculture, forestry and fishing",Local currency,9735
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Female,"Agriculture, forestry and fishing",Local currency,6078
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,,Industries,Local currency,16979
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Male,Industries,Local currency,6571
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Female,Industries,Local currency,10407
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,,Services,Local currency,17088
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Male,Services,Local currency,11487
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Female,Services,Local currency,5601
