Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",Annual,National,Percentage of financing and loans issued to SMEs,Lao People's Democratic Republic,Percent,30.9
2016,Normal value,Units,Not Available,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",Annual,National,Percentage of financing and loans issued to SMEs,Lao People's Democratic Republic,Percent,23.4
2017,Normal value,Units,Not Available,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",Annual,National,Percentage of financing and loans issued to SMEs,Lao People's Democratic Republic,Percent,22.3
2018,Normal value,Units,Not Available,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",Annual,National,Percentage of financing and loans issued to SMEs,Lao People's Democratic Republic,Percent,20.2
2019,Normal value,Units,Not Available,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",Annual,National,Percentage of financing and loans issued to SMEs,Lao People's Democratic Republic,Percent,18.1
