Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Millions,Not Available,"Ministry of Information, Culture and Tourism, www.tourismlaos.org",Annual,National,Tourism direct GDP as a proportion of total GDP [8.9.1],Lao People's Democratic Republic,USD,725
2016,Normal value,Millions,Not Available,"Ministry of Information, Culture and Tourism, www.tourismlaos.org",Annual,National,Tourism direct GDP as a proportion of total GDP [8.9.1],Lao People's Democratic Republic,USD,724
2017,Normal value,Millions,Not Available,"Ministry of Information, Culture and Tourism, www.tourismlaos.org",Annual,National,Tourism direct GDP as a proportion of total GDP [8.9.1],Lao People's Democratic Republic,USD,648
2018,Normal value,Millions,Not Available,"Ministry of Information, Culture and Tourism, www.tourismlaos.org",Annual,National,Tourism direct GDP as a proportion of total GDP [8.9.1],Lao People's Democratic Republic,USD,811
2019,Normal value,Millions,Not Available,"Ministry of Information, Culture and Tourism, www.tourismlaos.org",Annual,National,Tourism direct GDP as a proportion of total GDP [8.9.1],Lao People's Democratic Republic,USD,934
