Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,Value
2017,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,SE_TOT_CPLR,LA,,ISCED11_10,PT,105.4
2017,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,SE_TOT_CPLR,LA,,ISCED11_24,PT,72.6
2017,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,SE_TOT_CPLR,LA,M,ISCED11_24,PT,70.3
2017,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,SE_TOT_CPLR,LA,F,ISCED11_24,PT,74.9
2017,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,SE_TOT_CPLR,LA,,ISCED11_34,PT,45.2
2017,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,SE_TOT_CPLR,LA,M,ISCED11_34,PT,47.4
2017,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,SE_TOT_CPLR,LA,F,ISCED11_34,PT,42.9
