Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,A,Annual,National,Percentage of mobile phone users with internet access.,Lao People's Democratic Republic,Percent,21
2016,Normal value,Units,Not Available,A,Annual,National,Percentage of mobile phone users with internet access.,Lao People's Democratic Republic,Percent,30
2017,Normal value,Units,Not Available,A,Annual,National,Percentage of mobile phone users with internet access.,Lao People's Democratic Republic,Percent,37
2018,Normal value,Units,Not Available,A,Annual,National,Percentage of mobile phone users with internet access.,Lao People's Democratic Republic,Percent,47
2019,Normal value,Units,Not Available,A,Annual,National,Percentage of mobile phone users with internet access.,Lao People's Democratic Republic,Percent,50
