Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,Value
2015,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,_L_LA_040106_01,LA,ISCED11_10,PT,16.7
2015,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,_L_LA_040106_01,LA,ISCED11_24,PT,26.2
2016,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,_L_LA_040106_01,LA,ISCED11_10,PT,14.2
2016,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,_L_LA_040106_01,LA,ISCED11_24,PT,28.4
2017,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,_L_LA_040106_01,LA,ISCED11_10,PT,12.7
2017,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,_L_LA_040106_01,LA,ISCED11_24,PT,24.1
2018,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,_L_LA_040106_01,LA,ISCED11_10,PT,10.6
2018,A,0,_X,"Ministry of Education and Sports, http://www.moes.edu.la/",A,N,_L_LA_040106_01,LA,ISCED11_24,PT,9.2
