Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Percentage of women aged 15-49 years who gave birth by aged 15,Lao People's Democratic Republic,Percent,3.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Percentage of women aged 15-49 years who gave birth by aged 18,Lao People's Democratic Republic,Percent,18.2
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Percentage of women aged 20-24 years who gave birth by aged 15,Lao People's Democratic Republic,Percent,2.3
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Percentage of women aged 20-24 years who gave birth by aged 18,Lao People's Democratic Republic,Percent,18.4
