Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2013,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population below international poverty line [1.1.1],Lao People's Democratic Republic,Percent,15.6
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population below international poverty line [1.1.1],Lao People's Democratic Republic,Percent,8.6
