Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Millions,Not Available,Admin - OECD,Annual,National,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",Lao People's Democratic Republic,USD,57.6
2016,Normal value,Millions,Not Available,Admin - OECD,Annual,National,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",Lao People's Democratic Republic,USD,49.0
