Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,A,Annual,National,Foreign direct investment (FDI) inflows [17.3.1],Lao People's Democratic Republic,USD,1267747571
2016,Normal value,Units,Not Available,A,Annual,National,Foreign direct investment (FDI) inflows [17.3.1],Lao People's Democratic Republic,USD,4515413212
2017,Normal value,Units,Not Available,A,Annual,National,Foreign direct investment (FDI) inflows [17.3.1],Lao People's Democratic Republic,USD,1695990817
2018,Normal value,Units,Not Available,A,Annual,National,Foreign direct investment (FDI) inflows [17.3.1],Lao People's Democratic Republic,USD,1046170477
2019,Normal value,Units,Not Available,A,Annual,National,Foreign direct investment (FDI) inflows [17.3.1],Lao People's Democratic Republic,USD,1046170477
