Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080A01_01,LA,NUMBER,26
2016,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080A01_01,LA,NUMBER,9
2017,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080A01_01,LA,NUMBER,10
2018,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080A01_01,LA,NUMBER,10
2019,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080A01_01,LA,NUMBER,3
