Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,A,0,_X,"Lao Statistics Bureau, survey-(PHC), https://www.lsb.gov.la/",A,N,_L_LA_080504_01,LA,,PT,18.5
2015,A,0,_X,"Lao Statistics Bureau, survey-(PHC), https://www.lsb.gov.la/",A,N,_L_LA_080504_01,LA,M,PT,8.44
2015,A,0,_X,"Lao Statistics Bureau, survey-(PHC), https://www.lsb.gov.la/",A,N,_L_LA_080504_01,LA,F,PT,10.06
2017,A,0,_X,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",A,N,_L_LA_080504_01,LA,,PT,82.66
2017,A,0,_X,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",A,N,_L_LA_080504_01,LA,M,PT,42.66
2017,A,0,_X,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",A,N,_L_LA_080504_01,LA,F,PT,40.0
