Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2016,Normal value,Units,Not Available,"Lao Women Union, http://laowomenunion.org.la",Annual,National,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life. [5.1.1]",Lao People's Democratic Republic,Number,3
2015,Normal value,Units,Not Available,"Lao Women Union, http://laowomenunion.org.la",Annual,National,Whether mechanisms are operational in ‘enforcing and monitoring’ the implementation of legal frameworks for each area of law,Lao People's Democratic Republic,Number,3
