Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,_L_LA_050304_01,LA,PT,3.0
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,_L_LA_050304_02,LA,PT,18.2
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,_L_LA_050304_03,LA,PT,2.3
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,_L_LA_050304_04,LA,PT,18.4
