Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,_X,A,A,N,_L_LA_170601_01,LA,NUMBER,36
2016,A,0,_X,A,A,N,_L_LA_170601_01,LA,NUMBER,15
2017,A,0,_X,A,A,N,_L_LA_170601_01,LA,NUMBER,32
2018,A,0,_X,A,A,N,_L_LA_170601_01,LA,NUMBER,48
2019,A,0,_X,A,A,N,_L_LA_170601_01,LA,NUMBER,18
2015,A,0,_X,A,A,N,_L_LA_170603_01,LA,NUMBER,63
2016,A,0,_X,A,A,N,_L_LA_170603_01,LA,NUMBER,46
2017,A,0,_X,A,A,N,_L_LA_170603_01,LA,NUMBER,16
2018,A,0,_X,A,A,N,_L_LA_170603_01,LA,NUMBER,18
2019,A,0,_X,A,A,N,_L_LA_170603_01,LA,NUMBER,18
2015,A,0,_X,A,A,N,_L_LA_170603_02,LA,NUMBER,28
2016,A,0,_X,A,A,N,_L_LA_170603_02,LA,NUMBER,22
2017,A,0,_X,A,A,N,_L_LA_170603_02,LA,NUMBER,23
2018,A,0,_X,A,A,N,_L_LA_170603_02,LA,NUMBER,18
2019,A,0,_X,A,A,N,_L_LA_170603_02,LA,NUMBER,24
