Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,A,Annual,National,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],Lao People's Democratic Republic,Percent,15.07
2016,Normal value,Units,Not Available,A,Annual,National,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],Lao People's Democratic Republic,Percent,15.07
2017,Normal value,Units,Not Available,A,Annual,National,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],Lao People's Democratic Republic,Percent,15.19
2018,Normal value,Units,Not Available,A,Annual,National,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],Lao People's Democratic Republic,Percent,10.87
2019,Normal value,Units,Not Available,A,Annual,National,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],Lao People's Democratic Republic,Percent,8.39
