Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,OECD,Annual,National,"Total official flows for scholarships, by recipient countries [4.b.1]",Lao People's Democratic Republic,Percent,11.7
2016,Normal value,Units,Not Available,OECD,Annual,National,"Total official flows for scholarships, by recipient countries [4.b.1]",Lao People's Democratic Republic,Percent,11.0
2017,Normal value,Units,Not Available,OECD,Annual,National,"Total official flows for scholarships, by recipient countries [4.b.1]",Lao People's Democratic Republic,Percent,7.5
2018,Normal value,Units,Not Available,OECD,Annual,National,"Total official flows for scholarships, by recipient countries [4.b.1]",Lao People's Democratic Republic,Percent,18.0
