Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,FAO estimate,Annual,National,Prevalence of undernourishment [2.1.1],Lao People's Democratic Republic,Percent,16.8
2016,Normal value,Units,Not Available,FAO estimate,Annual,National,Prevalence of undernourishment [2.1.1],Lao People's Democratic Republic,Percent,16.7
2017,Normal value,Units,Not Available,FAO estimate,Annual,National,Prevalence of undernourishment [2.1.1],Lao People's Democratic Republic,Percent,16.5
2018,Normal value,Units,Not Available,FAO estimate,Annual,National,Prevalence of undernourishment [2.1.1],Lao People's Democratic Republic,Percent,16.5
