Value,en,Disaggregation combinations using this value,Number of indicators
CUR_LCU,Local currency,9,1
LITRES_PURE_ALCOHOL,Litres pure alcohol,1,1
NUMBER,Number,43,16
PER_100_POP,Per 100 population,1,1
PER_1000_LIVE_BIRTHS,"Per 1,000 live births",9,1
PER_1000_POP,"Per 1,000 population",6,2
PER_100000_POP,"Per 100,000 population",21,5
PT,Percent,252,56
T,Metric Tons,5,1
USD,USD,3,3
