Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,A,Annual,National,Fixed broadband subscriptions per 100 inhabitants [17.6.1],Lao People's Democratic Republic,Per 100 population,2642693
2016,Normal value,Units,Not Available,A,Annual,National,Fixed broadband subscriptions per 100 inhabitants [17.6.1],Lao People's Democratic Republic,Per 100 population,2628400
2017,Normal value,Units,Not Available,A,Annual,National,Fixed broadband subscriptions per 100 inhabitants [17.6.1],Lao People's Democratic Republic,Per 100 population,2782943
2018,Normal value,Units,Not Available,A,Annual,National,Fixed broadband subscriptions per 100 inhabitants [17.6.1],Lao People's Democratic Republic,Per 100 population,3030046
2019,Normal value,Units,Not Available,A,Annual,National,Fixed broadband subscriptions per 100 inhabitants [17.6.1],Lao People's Democratic Republic,Per 100 population,3540020
