Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,A,0,_X,A,A,N,_L_LA_171903_01,LA,,NUMBER,14042
2015,A,0,_X,A,A,N,_L_LA_171903_01,LA,M,NUMBER,5637
2015,A,0,_X,A,A,N,_L_LA_171903_01,LA,F,NUMBER,8405
2016,A,0,_X,A,A,N,_L_LA_171903_01,LA,,NUMBER,17157
2016,A,0,_X,A,A,N,_L_LA_171903_01,LA,M,NUMBER,7339
2016,A,0,_X,A,A,N,_L_LA_171903_01,LA,F,NUMBER,9818
2017,A,0,_X,A,A,N,_L_LA_171903_01,LA,,NUMBER,15646
2017,A,0,_X,A,A,N,_L_LA_171903_01,LA,M,NUMBER,6719
2017,A,0,_X,A,A,N,_L_LA_171903_01,LA,F,NUMBER,8927
2018,A,0,_X,A,A,N,_L_LA_171903_01,LA,,NUMBER,19238
2018,A,0,_X,A,A,N,_L_LA_171903_01,LA,M,NUMBER,8173
2018,A,0,_X,A,A,N,_L_LA_171903_01,LA,F,NUMBER,11065
