Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,A,0,_X,"Lao Statistics Bureau, survey-(PHC), https://www.lsb.gov.la/",A,N,SL_ISV_IFEM,LA,,PT,80.8
2015,A,0,_X,"Lao Statistics Bureau, survey-(PHC), https://www.lsb.gov.la/",A,N,SL_ISV_IFEM,LA,M,PT,0.754
2015,A,0,_X,"Lao Statistics Bureau, survey-(PHC), https://www.lsb.gov.la/",A,N,SL_ISV_IFEM,LA,F,PT,0.866
2017,A,0,_X,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",A,N,SL_ISV_IFEM,LA,,PT,66.5
2017,A,0,_X,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",A,N,SL_ISV_IFEM,LA,M,PT,19.97
2017,A,0,_X,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",A,N,SL_ISV_IFEM,LA,F,PT,46.53
