Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,6,_X,"Ministry of Information, Culture and Tourism, www.tourismlaos.org",A,N,ST_GDP_ZS,LA,USD,725
2016,A,6,_X,"Ministry of Information, Culture and Tourism, www.tourismlaos.org",A,N,ST_GDP_ZS,LA,USD,724
2017,A,6,_X,"Ministry of Information, Culture and Tourism, www.tourismlaos.org",A,N,ST_GDP_ZS,LA,USD,648
2018,A,6,_X,"Ministry of Information, Culture and Tourism, www.tourismlaos.org",A,N,ST_GDP_ZS,LA,USD,811
2019,A,6,_X,"Ministry of Information, Culture and Tourism, www.tourismlaos.org",A,N,ST_GDP_ZS,LA,USD,934
