Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080303_01,LA,PT,2235
2016,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080303_01,LA,PT,2537
2017,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080303_01,LA,PT,2667
2018,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080303_01,LA,PT,2829
2019,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080303_01,LA,PT,3966
