Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,6,_X,Admin - OECD,A,N,DC_TOF_HLTHL,LA,USD,57.6
2016,A,6,_X,Admin - OECD,A,N,DC_TOF_HLTHL,LA,USD,49.0
