Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,_X,"Ministry of Agriculture and Forestry, http://www.maf.gov.la",A,N,AG_XPD_AGSGB,LA,PT,158.56
2016,A,0,_X,"Ministry of Agriculture and Forestry, http://www.maf.gov.la",A,N,AG_XPD_AGSGB,LA,PT,188.77
2017,A,0,_X,"Ministry of Agriculture and Forestry, http://www.maf.gov.la",A,N,AG_XPD_AGSGB,LA,PT,271.19
2018,A,0,_X,"Ministry of Agriculture and Forestry, http://www.maf.gov.la",A,N,AG_XPD_AGSGB,LA,PT,244.43
2019,A,0,_X,"Ministry of Agriculture and Forestry, http://www.maf.gov.la",A,N,AG_XPD_AGSGB,LA,PT,178.56
