Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080302_01,LA,PT,30.9
2016,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080302_01,LA,PT,23.4
2017,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080302_01,LA,PT,22.3
2018,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080302_01,LA,PT,20.2
2019,A,0,_X,"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",A,N,_L_LA_080302_01,LA,PT,18.1
